address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
910 S Knott Ave,A Request For A Conceptual Development Review Of A Proposed 882 Sq. Ft. Addition To And Existing Medical/Dental Facility.,Chin Dental Clinic,Commercial,In Review,2/7/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
375 E Santa Ana St,A Request To Demolish The Existing Lumberyard And Construct 55 New Single Family Attached Condominiums.,Lumberyard Townhomes,Residential,In Review,2/15/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2184 S Harbor Blvd,Conceptual Development Review For A Proposed Flame Broiler Restaurant In An Existing Office Building; And Demolition Of Existing Apartments For A Parking Lot.,Flame Broiler,Commercial,In Review,2/14/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
8140 E Santa Ana Canyon Rd,Final Site Plan For Anaheim Hills Festival. Shell Remodel For Existing Building To Demise Into Two Spaces With Loading Doors. Improvements To Storefront Entrance With New Exterior Elevation. Improvements To Sidewalk And Planters.,Anaheim Hills Festival Remodel of Building Shell,Commercial,In Review,2/16/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
3370 E La Palma Ave,Municipal Code Text Amendment To Chapter 18.44 (Signs) For Legacy Signs.,Code Amendment for Billboard Sign,Commercial,In Review,2/16/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2951 W Ball Rd,A Request For A Conditional Use Request To Permit A Virtual Reality Lounge And Escape Room.,Terminus Escape Virtual Reality,Commercial,In Review,2/17/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2410 E Katella Ave,A Request For A Conditional Use Permit To Allow A Smoking Lounge (Hookah) Service Within A Proposed Restaurant Patio.,Aleppo's Kitchen (Hookah Lounge),Commercial,In Review,2/28/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1060 W Katella Ave,A Request For A Minor Amendment To Final Site Plan No. 2016-00002 To Incorporate 1060 W. Katella To Be Constructed As A Garden Area.,The Westin Anaheim Resort - Garden Expansion,Commercial,In Review,3/1/2022,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
2000 E Gene Autry Way,Amendment To Development Agreement No. Dag2020-00002 For The Redevelopment Of Angels Stadium.,[DEV2020-00127A] ANGEL STADIUM REDEVELOPMENT DAG,Commercial,In Review,3/3/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1250 N Tustin Ave,Request For Minor Conditional Use Permit To Allow For Educational Institution- Business For More Than 10 Students/Training Program Associated To The Traffic Signaling Equipment Company And A Parking Variance For The Reduced Parking.,MCUP for Educational Institution- Business for 30 Students and Parking Variance,Industrial,Approved,3/15/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1426 S Allec St,Request For A Conditional Use Permit To Permit And Retain An Impound Yard,California Roadside Services,Industrial,Approved,3/18/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
540 S State College Blvd,A Request For A Administrative Adjustment To Permit A Dental Office With Fewer Parking Spaces Than Required By Code,State College Dental,Commercial,Approved,3/29/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2431 W La Palma Ave,Conceptual Development Review Of An New 12' High Perimeter Fence Adjacent To The Railroad Right-Of-Way.,Living Stream 12 ft. Perimeter Fence CDR,Commercial,In Review,4/3/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
2223 E Katella Ave,"Conceptual Development Review For Construction Of Two New Industrial Buildings Totaling 338,000 Square Feet, And A Lot Line Adjustment To Combine Four Parcels Into Two.",Pacific Stadium Project II Industrial Buildings,Commercial,In Review,4/11/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
208 N Beach Blvd,A Request For A Conditional Use Permit To Permit A Drive Through Restaurant,39 Commons Drive Through Pad B,Commercial,In Review,4/14/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
208 N Beach Blvd,A Request For A Conditional Use Permit To Permit A Drive Through Restaurant,39 Commons Drive Through Pad C,Commercial,In Review,4/14/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
208 N Beach Blvd,A Request For A Conditional Use Permit To Permit A Coordinated Sign Program,39 Commons Coordinated Sign Program,Commercial,In Review,4/14/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
208 N Beach Blvd,A Request For Approval Of A Tentative Parcel Map To Subdivide The Property Into Four Parcels,Tentative Parcel Map 2020-178 39 Commons,Commercial,In Review,4/14/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
4679 E Orchard Dr,Conceptual Development Review For New Multi-Family Housing Community Consisting Of A 360 Unit Three-Story Building With A 4.5 Level Parking Garage.,SC Orchard Development Muiltple-Family Residential,Residential,In Review,4/18/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
320 W Broadway,A Request To Amend A Conditional Use Permit To Permit A New Charter School In An Existing Church Building.,Vibrant Minds Charter School,Commercial,In Review,5/5/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
517 E Katella Ave,Conceptual Development Review For Two Restaurants With Drive-Throughs.,Katella Drive Through Restaurants,Commercial,In Review,5/23/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
801 S State College Blvd,New Mcdonald'S Drive Through Restaurant,,Commercial,In Review,5/23/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
560 S Gilbuck Dr,Str Relocation From 2063 S June To 560 S. Gilbuck Dr.,,Residential,In Review,5/26/2022,JDadant@anaheim.net,(714) 765-4945,Anaheim,Judy Dadant
2521 W La Palma Ave,Conditional Use Permit To Create Space For Private Use For Events At 2521 W. La Palma Ave.,Le Blanq Event Center,Industrial,In Review,6/1/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2388 W Lincoln Ave,A Request To Approve A Conditional Use Permit To Construct A New Restaurant With A Drive-Through In An Existingccommercial Retail Center.,McDonald's Lincoln Avenue,Commercial,In Review,6/2/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
212 S Beach Blvd,A Request To Modify A An Approved Final Site Plan,SEC Beach and Lincoln Site Plan Amendment,Residential,In Review,6/6/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2115 E Ball Rd,"Minor Conditional Use Permit To Allow Alcohol Sales, Type 47",Iguanas Mexican food MCUP for ABC License,Commercial,Approved,6/7/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
308 W Vermont Ave,Demolition Of Existing Single-Family Residence And Construction Of A New Four-Unit Multiple-Family Building.,Vermont Multi-Family Development,Residential,In Review,6/7/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
567 S Peralta Hills Dr,Conceptual Development Review For Demolition Of Existing Single Family Residence And Construction Of New Two-Story Single Family Residence.,Reynoso Residence,Residential,In Review,6/6/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
3335 W Lincoln Ave  ,A Request For A Minor Amendment Of A Conditional Use Permit To Permit A Fence And Vehicle Gate And An Administrative Adjustment To Permit Fewer Parking Spaces Than Required By Code.,Solara Court Senior Apartments Gate and Fence,Residential,Approved,6/9/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2950 E Miraloma Ave,"Conceptual Development Review For New 69,400 Sf. Industrial Warehouse.",Red Gum Industrial Warehouse,Industrial,In Review,6/9/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
 P Bk 309 Pg 19 Par A,Conditional Use Permit For New 160 Space Rv Storage Facility,,Commercial,In Review,6/10/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
 P Bk 309 Pg 19 Par A,Conditional Use Permit For New 160 Space Rv Storage Facility,,Commercial,In Review,6/9/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1432 E Katella Ave 7,"Final Site Plan For Area C And Area D Of The A-Town Master Site Plan. This Project Will Consist Of 253 Units And 17,277 Sf Of Commercial Space In Area C; 255 Residential Units In Area D. Parking Will Be Provided At-Grade And Underground. This Request Also Includes The Following Entitlements: Conditional Use Permit, Development Area Boundary Modification, Ground Floor Use Diagram Modification.",A-Town Development Area C and Area D,Mixed Use,Approved,6/21/2022,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
1601 S Anaheim Blvd,Request For A Variance To Allow A Larger Exterior Wall Sign Than Allowed By Code On The South Building Elevation.,The Hotel Viv (Radisson Blu),Commercial,In Review,6/22/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
 P Bk 309 Pg 19 Par A,Conditional Use Permit For New 160 Space Rv Storage Facility.,Anaheim Hills RV Storage,Commercial,In Review,6/23/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
88 E Orangethorpe Ave,"A Request For Two Conditional Use Permits To Construct A Car Wash And A Drive-Through Restaurant, And A Variance To Permit A Freestanding Sign Within The Required Street Setback.",Walmart Center Redevelopment,Commercial,In Review,6/30/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1315 S Anaheim Blvd,Conditional Use Permit To Increase Number Of Beds From 36 To 49 Beds At An Existing Licensed Community Care Facility.,Promises Guest Village,Residential,Approved,7/1/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1717 S Disneyland Dr,Paradise Pier Hotel. Create Case In Advance Per Elaine And Juan. Project Has Not Been Submitted.,,Commercial,In Review,7/1/2022,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
3010 W Orange Ave,Conceptual Development Review To Change The Use From Medical Office To Mixed Use.,Exbon - Orange Ave Mixed Use,Commercial,In Review,7/12/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2350 E Orangethorpe Ave,"Conceptual Development Review For Demo Of Two Multi-Tenant Industrial Buildings And Replace With New +/- 93,639 Sq. Ft. Concrete Tilt-Up Industrial Warehouse/Distribution Facility.",Orangethorpe Industrial Warehouse/Distribution,Industrial,In Review,7/14/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
811 W Romneya Dr,Conceptual Development Review For New 42 Unit Apartment Building.,Romneya Apartments,Residential,In Review,7/19/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
180 N Riverview Dr,"Conceptual Development Review For Demolition Of Existing Office / Industrial Buildings And Development Of  Single +/-94,540 Sf. Industrial Building.",,Industrial,In Review,7/31/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
2501 E Ball Rd,"Minor Amendment For 7-11 Store, Gas And Carwash.",Ball and Sunkist 7-Eleven and Car Wash,Commercial,Approved,8/2/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1912 S Jacaranda St,"Minor Conditional Use Permit For A New Wine Bistro With Food Service, Including A Type 41 Abc License In A Ground Floor Commercial Space.",California Vintage Wine Bistro,Commercial,In Review,8/1/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
891 S Walnut St,Minor Amendment To Cup2004-04917b To Add One Additional Independent Living Unit.,Walnut Village,Residential,In Review,8/2/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
200 S Anaheim Blvd,Adopt A Resolution To Revise The Application Fee For Ministerial Review Of An Extension Of Time To Comply With Conditions Of Approval And Establish An Application Fee For Ministerial Review Of Outdoor Dining Parking Permits On Private Property For Restaurants,Outdoor Dining Parking Permit Fee & Time Extension Fee Resolution,Commercial,Approved,8/10/2022,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
30 E Orangethorpe Ave,"A Request For A Conditional Use Permit To Construct A New Drive-Through Restaurant, A Lot Line Adjustment To Consolidate Two Lots Into One Lot, And A Request For An Administrative Adjustment To Allow For A Ten Percent In Reduction To The Required Parking.",Pollo Campero,Commercial,In Review,8/12/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
201 S Walnut St,"Time Extension To Comply With Conditions Of Approval, Ref: Dev2019-00033.",Walnut Parcel Map- Time Extension,Residential,In Review,8/15/2022,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
517 E Katella Ave,"Conceptual Development Review For Demolition Of Existing 19,000 S.F. Retail Building And New Construction Of A 5,864 S.F. Automotive Retail / E-Commerce Fulfillment ""Carvana Vending Machine""",,Commercial,In Review,8/16/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
5510 E La Palma Ave,Conceptual Development Review For A Proposal To Demolish An Existing Concrete Tilt-Up Warehouse Building And Replace With One Industrial Warehouse Building.,Prologis La Palma Center,Industrial,In Review,9/13/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1477 N Jefferson St,A Request For A Conditional Use Permit To Demolish A Commercial Building And To Permit An Oversized And Recreational Vehicle Outdoor Storage Yard.,Palisade Jefferson,Industrial,In Review,9/27/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2400 E Katella Ave,"Conceptual Development Review For A New 150,000 Sq. Ft. 5-6 Story Office Building; New 5 Level Parking Garage.",Stadium Towers,Commercial,In Review,9/27/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1425 E Lincoln Ave,Conceptual Development Review For Demolition Of Existing Structure And Development The Of A New 950 Sq. Ft. Drive-Through Facility For A Coffee Shop.,Dutch Bros. Coffee Store,Commercial,In Review,9/30/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
525 N Muller St,A Request For A Variance To Permit A Fence And Gates Taller Than Permitted By Code.,Arisam LLC Fence Variance,Commercial,Approved,10/4/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
1020 N Euclid St,"Public Convenience Or Necessity To Sell Beer, Wine And Distilled Spirits For Off-Site Consumption(Abc Type 21 License) At A New Grocery Store.",Seafood City,Commercial,Approved,10/5/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
311 W South St,Conceptual Development Review For Proposed 24 Three-Story Residential Townhomes.,Habitat for Humanity - Anaheim St. Michaels,Residential,In Review,10/6/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
524 E Julianna St,Variance For Parking Reduction.,,Industrial,In Review,10/10/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
3330 E Miraloma Ave,"Conceptual Development Review For  A Lot Line Adjustment And Demolition Of Existing Six-Story Building, With Existing Two-Story Building To Remain, And Construction Of One-Story Warehouse.",Eastside Christian Church,Commercial,In Review,10/11/2022,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
2720 W Lincoln Ave,First Time Extension Request For An Approved Conditional Use Permit To Establish An Outdoor Recreational Vehicle (Rv) Storage Facility On A Vacant Site And An Administrative Adjustment To Permit Building And Landscaped Setbacks Less Than Required By The Anaheim Municipal Code.,[DEV2018-00009] LINCOLN RV STORAGE-TIME EXTENSION-1,Industrial,Approved,10/28/2022,SNicholas@anaheim.net,(714) 765-4968,Anaheim,Sean Nicholas
5635 E La Palma Ave,Conditional Use Permit For The Proposal To Demolish The Interior Of An Existing Theater And Convert To Tesla Automotive Showroom And Sales Facility. A Minor Conditional Use Permit To Allow A Freestanding And A Wall Mounted Electronic Reader Board.,Tesla Anaheim,Commercial,In Review,11/3/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2607 W Lincoln Ave B,Minor Conditional Use Permit For On-Site Beer And Wine Approval.,Los 7 Mares Beer and Wine License,Commercial,Approved,11/10/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
705 S Beach Blvd,A City-Initiated Modification To Cup No. 2678 For An Existing Motel To Add Conditions Of Approval,Beach Side Inn,Commercial,In Review,11/16/2022,njtaylor@anaheim.net,(714) 765-4323,Anaheim,Nicholas Taylor
1100 N Gilbert St,"Conceptual Development Review For Demolition Of Existing Facilities And Redevelop With New 153,000 Sq. Ft. Warehouse With 6,000 Sq. Ft. Mezzanine And 6,000 Sq. Ft. Office Space.",The Park Industrial,Industrial,In Review,11/18/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
201 S Walnut St,Request For Approval Of A Tentative Parcel Map To Establish A 2-Lot Single Family Residential Subdivision.,Walnut Street Subdivision,Residential,In Review,11/30/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1401 W Ball Rd,Variance To Allow Construction Of A Six Foot Fence In The Street Setback Area,Walnut Village Fence Variance,Residential,In Review,12/2/2022,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
1670 W Lincoln Ave,Request For A Parking Variance To Permit A New Care-Taker Unit.,Lincoln Plaza Parking Variance,Commercial,Withdrawn,12/16/2022,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
444 N Lakeview Ave,Minor Conditional Use To Permit A Beer And Wine License.,Mama Roscoe's Pizzeria,Commercial,Approved,1/3/2023,JMBarriga@Anaheim.net,(714) 765-5380,Anaheim,Jose Barriga
710 E Katella Ave,"A Request For A Conditional Use Permit To Demolish A Commercial Building And To Permit An Oversized And Recreational Vehicle Outdoor Storage Yard, With A Variance To Allow A Landscape Setback That Is Less Than Required By Code.",Katella & Lewis Outdoor Storage,Industrial,In Review,1/3/2023,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
